latitude,longitude
40.61532342,-73.9000663
40.65190989,-73.83916455
40.69343849,-73.74928799
40.62513407,-74.07488281
40.72354125,-73.81145043
40.76908301,-73.87158999
40.58037703,-73.8485663
40.77855304,-73.84507867
40.59208611,-73.96524497
40.813997,-73.86402138
40.5995367,-74.0058237
40.71323273,-73.76349201
40.68863095,-73.92898155
40.71989502,-73.75410643
40.75782036,-73.73977671
40.86234051,-73.92509394
40.74454102,-73.9788219
40.55069279,-74.18009939
40.560337,-74.11372714
40.69703802,-73.83332211
40.68816182,-73.78283152
40.8613919,-73.83985686
40.7612464,-73.7868243
40.81312607,-73.88618831
40.86663198,-73.84805686
40.59980268,-73.7601053
40.61235965,-74.14062608
40.71576943,-73.85576481
40.76752508,-73.76480346
40.69821458,-73.82258532
40.64205842,-73.99193144
40.59619165,-73.95691099
40.65876663,-73.90608116
40.55795084,-74.11313224
40.63847861,-73.96479323
40.61237149,-73.93932219
40.76625318,-73.87334114
40.73939076,-73.85978692
40.68277748,-73.817507
40.72702375,-73.94560885
40.76996317,-73.76625477
40.53598581,-74.16317483
40.70237831,-73.92041606
40.70243484,-73.80201493
40.60634716,-73.90479011
40.71057096,-73.91826136
40.7360174,-73.84733464
40.7388065,-73.70496157
40.88748007,-73.91691443
40.61716172,-73.93580113
40.76268276,-73.75449916
40.70619604,-73.90069507
40.81465299,-73.81619486
40.56619989,-74.10397767
40.61611636,-74.12114772
40.70915563,-73.95558234
40.5651506,-74.18401323
40.6673586,-73.9551561
40.75818516,-73.89052061
40.68681237,-73.80882751
40.67951931,-73.76578448
40.63342154,-74.03695682
40.63456253,-73.91020098
40.75103026,-73.70481703
40.5291912,-74.19796591
40.62803878,-74.15645487
40.61273551,-74.14912182
40.74584787,-73.82085617
40.79813305,-73.97389065
40.68888192,-73.96604391
40.84637828,-73.93758112
40.59706746,-73.94220488
40.5987987,-74.16410935
40.77272629,-73.88923108
40.71676026,-73.94397654
40.83419926,-73.81932059
40.77137286,-73.96138213
40.60787701,-73.75910994
40.62529268,-73.95969251
40.76556612,-73.76311668
40.71723806,-73.88316858
40.81347444,-73.9369625
40.67813022,-73.82593386
40.55865142,-74.14676766
40.55489649,-74.21415398
40.86647077,-73.83219858
40.69427897,-73.93951641
40.74796662,-73.91969135
40.79529075,-73.96504627
40.87151069,-73.87991533
40.68368338,-73.84594769
40.75773879,-73.9613471
40.61420196,-73.95730486
40.69263952,-73.7394801
40.55531074,-74.11824251
40.72796307,-73.94028158
40.60251829,-74.164873
40.7134636,-73.94050338
40.73399337,-73.79842241
40.51870095,-74.2113425
40.75528279,-73.85630438
40.61271345,-73.95379529
40.80716581,-73.91371454
40.74153689,-73.86576624
40.55372198,-74.18268766
40.81327106,-73.95037533
40.5013558,-74.2481927
40.565211,-74.11147837
40.72262634,-73.87498308
40.70742602,-73.75784755
40.69295933,-73.73931293
40.62456876,-74.15125704
40.78450275,-73.91622611
40.54174837,-74.14520616
40.7486562,-73.91198883
40.82308914,-73.90032012
40.81760961,-73.89610868
40.83719752,-73.86006158
40.72295282,-73.94761302
40.52013975,-74.19968407
40.84677813,-73.82201857
40.58862699,-74.1605657
40.61828739,-74.07367801
40.63830139,-73.90366122
40.61335216,-74.06740699
40.70506561,-73.83657066
40.75279868,-73.85778701
40.5590812,-74.15697052
40.60567771,-73.95472632
40.70020582,-73.9247396
40.70212581,-73.94651487
40.75197585,-73.89602249
40.57875451,-74.1130262
40.76326621,-73.72183926
40.81746587,-73.92351526
40.60326576,-73.74590189
40.6441719,-73.99530127
40.66275615,-73.98365333
40.63843177,-73.94815819
40.75301969,-73.75221664
40.84073008,-73.8328399
40.77395079,-73.81971153
40.72129688,-73.73113386
40.86342239,-73.84073464
40.67491069,-73.94731584
40.60960641,-73.76298778
40.74377933,-73.71454807
40.81978114,-73.87546108
40.78308755,-73.94437848
40.52822509,-74.21306285
40.66679123,-73.94479517
40.73916913,-73.70851781
40.79169223,-73.84802384
40.87189334,-73.90645301
40.75997967,-73.83470373
40.70237278,-74.01143532
40.77219152,-73.82648177
40.71388121,-73.81266592
40.60504741,-74.095874
40.68616779,-73.95047942
40.81577587,-73.93900572
40.70366408,-73.94098604
40.68238582,-73.73739334
40.82777179,-73.82892941
40.72452621,-73.98452686
40.83626709,-73.93894805
40.67621445,-73.87374442
40.61439135,-74.07186
40.54381818,-74.15226835
40.70038223,-73.74797925
40.85701981,-73.84927897
40.72931491,-73.74062005
40.7594045,-73.73119788
40.84295563,-73.88390512
40.67448046,-73.88977926
40.70778223,-73.91354431
40.7429812,-74.00050083
40.61172387,-73.90811651
40.62492425,-73.9680521
40.72210592,-73.80484681
40.84184904,-73.88160971
40.5238893,-74.18664905
40.62071517,-74.01068963
40.54698047,-74.18551529
40.53802871,-74.19105886
40.62607692,-74.15197697
40.59704461,-73.96868205
40.61757922,-74.03781781
40.73234014,-73.71941603
40.73867461,-73.78875134
40.53845202,-74.15469387
40.60719802,-73.81939664
40.61438101,-73.99591353
40.63084468,-73.95257398
40.61508778,-74.01580515
40.58789599,-73.9434466
40.6100291,-73.76529641
40.87480003,-73.8774556
40.55465882,-74.13368627
40.84512308,-73.91118602
